date,type,description
2008-01-19,WEEKEND,Saturday
2008-01-20,WEEKEND,Sunday
2008-01-26,WEEKEND,Saturday
2008-01-27,WEEKEND,Sunday
2008-02-02,WEEKEND,Saturday
2008-02-03,WEEKEND,Sunday
2008-02-09,WEEKEND,Saturday
2008-02-10,WEEKEND,Sunday
2008-02-16,WEEKEND,Saturday
2008-02-17,WEEKEND,Sunday
2008-02-23,WEEKEND,Saturday
2008-02-24,WEEKEND,Sunday
2008-03-01,WEEKEND,Saturday
2008-03-02,WEEKEND,Sunday
2008-03-08,WEEKEND,Saturday
2008-03-09,WEEKEND,Sunday
2008-03-15,WEEKEND,Saturday
2008-03-16,WEEKEND,Sunday
2008-03-22,WEEKEND,Saturday
2008-03-23,WEEKEND,Sunday
2008-03-29,WEEKEND,Saturday
2008-03-30,WEEKEND,Sunday
2008-04-05,WEEKEND,Saturday
2008-04-06,WEEKEND,Sunday
2008-04-12,WEEKEND,Saturday
2008-04-13,WEEKEND,Sunday
2008-04-19,WEEKEND,Saturday
2008-04-20,WEEKEND,Sunday
2008-04-26,WEEKEND,Saturday
2008-04-27,WEEKEND,Sunday
2008-05-03,WEEKEND,Saturday
2008-05-04,WEEKEND,Sunday
2008-05-10,WEEKEND,Saturday
2008-05-11,WEEKEND,Sunday
2008-05-17,WEEKEND,Saturday
2008-05-18,WEEKEND,Sunday
2008-05-24,WEEKEND,Saturday
2008-05-25,WEEKEND,Sunday
2008-05-26,CLOSED,Memorial Day
2008-05-31,WEEKEND,Saturday
2008-06-01,WEEKEND,Sunday
2008-06-07,WEEKEND,Saturday
2008-06-08,WEEKEND,Sunday
2008-06-14,WEEKEND,Saturday
2008-06-15,WEEKEND,Sunday
2008-06-21,WEEKEND,Saturday
2008-06-22,WEEKEND,Sunday
2008-06-28,WEEKEND,Saturday
2008-06-29,WEEKEND,Sunday
2008-07-04,CLOSED,Independence Day
2008-07-05,WEEKEND,Saturday
2008-07-06,WEEKEND,Sunday
2008-07-12,WEEKEND,Saturday
2008-07-13,WEEKEND,Sunday
2008-07-19,WEEKEND,Saturday
2008-07-20,WEEKEND,Sunday
2008-07-26,WEEKEND,Saturday
2008-07-27,WEEKEND,Sunday
2008-08-02,WEEKEND,Saturday
2008-08-03,WEEKEND,Sunday
2008-08-09,WEEKEND,Saturday
2008-08-10,WEEKEND,Sunday
2008-08-16,WEEKEND,Saturday
2008-08-17,WEEKEND,Sunday
2008-08-23,WEEKEND,Saturday
2008-08-24,WEEKEND,Sunday
2008-08-30,WEEKEND,Saturday
2008-08-31,WEEKEND,Sunday
2008-09-01,CLOSED,Labor Day
